id,lang,channel,split,label_origin,source_text,expected_json,verdict,reviewer,comment
seed:011_P_20180531,en,SDR,en,none,"ZCZC PJ77
NETHERLANDS COASTGUARD
SATNAV MESSAGE NR. 77 310818 UTC MAY
DGPS PRE-WARNING MESSAGE:
THE TRANSMISSION OF THE DGPS-STATION GILZEN RIJEN  (THE NETHERLANDS),
WITH BROADCASTING  STATION-ID 426, RADIO BEACON-TRANSMISSION FREQUENCY 302 KHZ CAN BE INTERRUPTED :
FROM THE 4TH  UNTIL 8TH OF MARCH BETWEEN 6:00 UNTIL 15:00 UTC
FROM THE 11TH  UNTIL 15TH OF MARCH BETWEEN 6:00 UNTIL 15:00 UTC

NNNN
",,,,
seed:012_X_20260907,pl,TEXT,pl,draft,"OSTRZEŻENIE NAWIGACYJNE NR PL 216/2026 (BRZEGOWE)
KATEGORIA: WPROWADZENIE NOWEGO OZNAKOWANIA NAWIGACYJNEGO LUB ZNACZĄCE ZMIANY W ISTNIEJĄCYM OZNAKOWANIU MAJĄCE ZNACZENIE DLA ŻEGLUGI
OBSZAR: BAŁTYK POŁUDNIOWO-WSCHODNI. LOKALIZACJA: N OD STILO. MAPA INT1292.
W DNIACH 08-09.09.2026 PLANOWANE JEST WYSTAWIENIE PŁAW AIS NA POZYCJACH: 1. PŁAWA SM2 DB1 AIS: 55-06,23'N 17-56,38'E 2. PŁAWA SM4 DB2 AIS: 55-06,08'N 17-56,89'E JEDNOSTKA ZAANGAŻOWANA W PRACE: FAIRPLAY 37 (MMSI 261002431)
TERMIN OBOWIĄZYWANIA: OD 08 WRZ 2026, 00:00 (CET) DO 09 WRZ 2026, 23:59 (CET)
UWAGI: ZACHOWAĆ BEZPIECZNĄ ODLEGŁOŚĆ
ROZPOWSZECHNIONO 07 WRZ 2026. BHMW, KRAJOWY KOORDYNATOR OSTRZEŻEŃ NAWIGACYJNYCH.
","{""event_type"": ""NAV_WARNING"", ""warning_id"": ""PL 216/2026"", ""issued_at"": null, ""valid_from"": ""2026-09-07T22:00:00Z"", ""valid_to"": ""2026-09-09T21:59:00Z"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[17.9397, 55.1038], [17.9482, 55.1013]]}, ""location_name"": ""BAŁTYK POŁUDNIOWO-WSCHODNI, N OD STILO"", ""agency"": ""BHMW"", ""entities"": [{""type"": ""AID_TO_NAV"", ""text"": ""PŁAWA SM2 DB1 AIS""}, {""type"": ""AID_TO_NAV"", ""text"": ""PŁAWA SM4 DB2 AIS""}, {""type"": ""VESSEL"", ""text"": ""FAIRPLAY 37""}, {""type"": ""MMSI"", ""text"": ""261002431""}]}",,,
seed:013_X_20260907,en,TEXT,en,draft,"NAVIGATIONAL WARNING NO. PL 216/2026 (COASTAL)
CATEGORY: ESTABLISHMENT OF MAJOR NEW AIDS TO NAVIGATION OR SIGNIFICANT CHANGES TO EXISTING ZONES, WHEN SUCH ESTABLISHMENT OR CHANGE MIGHT BE MISLEADING TO SHIPPING
AREA: SOUTH-EASTERN BALTIC. LOCALISATION: N OF STILO. CHART INT1292.
BETWEEN 08TH AND 09TH SEP 2026 AIS BUOYS ARE TO BE ESTABLISHED IN POSITIONS: 1. BUOY SM2 DB1 AIS: 55-06,23'N 17-56,38'E 2. BUOY SM4 DB2 AIS: 55-06,08'N 17-56,89'E UNIT ENGAGED: FAIRPLAY 37 (MMSI 261002431)
TERM OF VALIDITY: FROM 07 SEP 2026, 22:00 (UTC) TO 09 SEP 2026, 21:59 (UTC)
REMARKS: SAFE BERTH REQUESTED
PROMULGATED 07 SEP 2026. HYDROGRAPHIC OFFICE OF THE POLISH NAVY, POLISH COORDINATOR OF RADIO NAVIGATIONAL WARNINGS.
","{""event_type"": ""NAV_WARNING"", ""warning_id"": ""PL 216/2026"", ""issued_at"": null, ""valid_from"": ""2026-09-07T22:00:00Z"", ""valid_to"": ""2026-09-09T21:59:00Z"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[17.9397, 55.1038], [17.9482, 55.1013]]}, ""location_name"": ""SOUTH-EASTERN BALTIC, N OF STILO"", ""agency"": ""BHMW"", ""entities"": [{""type"": ""AID_TO_NAV"", ""text"": ""BUOY SM2 DB1 AIS""}, {""type"": ""AID_TO_NAV"", ""text"": ""BUOY SM4 DB2 AIS""}, {""type"": ""VESSEL"", ""text"": ""FAIRPLAY 37""}, {""type"": ""MMSI"", ""text"": ""261002431""}]}",,,
seed:014_X_20260906,pl,TEXT,pl,draft,"OSTRZEŻENIE NAWIGACYJNE NR PL 215/2026 (BRZEGOWE)
KATEGORIA: OBECNOŚĆ DUŻYCH ZESPOŁÓW HOLUJĄCYCH
OBSZAR: BAŁTYK POŁUDNIOWY. LOKALIZACJA: WYBRZEŻE POLSKIE. MAPA INT1021.
W DNIACH OD 2026-09-07 DO 2026-09-08 PROWADZONA BĘDZIE OPERACJA HOLOWANIA RUROCIĄGU O DŁUGOŚCI 750 M PRZEZ HOLOWNIK HENRYK (MMSI: 261059000) W ASYŚCIE SM-PRC-101 LUB SM-PRC-107 NA TRASIE: Z REJONU JASTARNIA POZYCJA: 54-43.10N 018-38.10E DO REJONU PUSTKOWO POZYCJA: 54-04.50N 014-58.50E. UPRASZA SIĘ RYBAKÓW O ZDJĘCIE NARZĘDZI POŁOWOWYCH Z TRASY HOLOWANIA.
TERMIN OBOWIĄZYWANIA: OD 07 WRZ 2026, 04:00 (CET)
UWAGI: ZACHOWAĆ OSTROŻNOŚĆ.
ROZPOWSZECHNIONO 06 WRZ 2026. BHMW, KRAJOWY KOORDYNATOR OSTRZEŻEŃ NAWIGACYJNYCH.
","{""event_type"": ""NAV_WARNING"", ""warning_id"": ""PL 215/2026"", ""issued_at"": null, ""valid_from"": ""2026-09-07T02:00:00Z"", ""valid_to"": null, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[18.635, 54.7183], [14.975, 54.075]]}, ""location_name"": ""BAŁTYK POŁUDNIOWY, WYBRZEŻE POLSKIE, JASTARNIA, PUSTKOWO"", ""agency"": ""BHMW"", ""entities"": [{""type"": ""VESSEL"", ""text"": ""HENRYK""}, {""type"": ""MMSI"", ""text"": ""261059000""}, {""type"": ""VESSEL"", ""text"": ""SM-PRC-101""}, {""type"": ""VESSEL"", ""text"": ""SM-PRC-107""}]}",,,
seed:015_X_20260906,en,TEXT,en,draft,"NAVIGATIONAL WARNING NO. PL 215/2026 (COASTAL)
CATEGORY: THE PRESENCE OF LONG TOWS
AREA: SOUTHERN BALTIC. LOCALISATION: POLISH COAST. CHART INT1021.
ON 2026-09-07 AND 2026-09-08 THE TOWING OPERATION OF 750M LONG SILTING PIPE WILL BE CONDUCTED BY VESSELS HENRYK (MMSI: 261059000) AND SM-PRC-101 OR SM-PRC-107 FROM JASTARNIA POSITION: 54-43.10N 018-38.10E TO PUSTKOWO POSITION: 54-04.50N 014-58.50E. FISHERMEN ARE ASKED TO REMOVE FISHING GEARS FROM THE TOWING ROUTE.
TERM OF VALIDITY: FROM 07 SEP 2026, 02:00 (UTC)
REMARKS: CAUTION ADVISED.
PROMULGATED 06 SEP 2026. HYDROGRAPHIC OFFICE OF THE POLISH NAVY, POLISH COORDINATOR OF RADIO NAVIGATIONAL WARNINGS.
","{""event_type"": ""NAV_WARNING"", ""warning_id"": ""PL 215/2026"", ""issued_at"": null, ""valid_from"": ""2026-09-07T02:00:00Z"", ""valid_to"": null, ""geometry"": {""type"": ""LineString"", ""coordinates"": [[18.635, 54.7183], [14.975, 54.075]]}, ""location_name"": ""SOUTHERN BALTIC, POLISH COAST, JASTARNIA, PUSTKOWO"", ""agency"": ""BHMW"", ""entities"": [{""type"": ""VESSEL"", ""text"": ""HENRYK""}, {""type"": ""MMSI"", ""text"": ""261059000""}, {""type"": ""VESSEL"", ""text"": ""SM-PRC-101""}, {""type"": ""VESSEL"", ""text"": ""SM-PRC-107""}]}",,,
seed:016_I_20260907,en,SDR,en,none,"ZCZC IAVW_
0210_
UTC JUL
BA_TC_ SEA_NA
_A_D NORTHERN _A_F RIGA AND SEA OF AALAND.
GNSS, AI_,__R AND DGPS _H___Y___UU__U_ZCZC

 2026-09-08 04:37:55(LV) AREA: J
ZCZC JA14
8 _7_+____5_0GBN_QA

NWC112/BLACK SEA.ROMANIA.23 AUGUST
ON _MARITIME EX_SES TRAINING IN_AKPC
FE TRNYN 028 37,4E
43 5_,6N 028 38,6_09,_63___)()9,_GIG_+)_:_!_!!6_/3_HEDULED AUMF_ALOWS:
ON 07.09. FM 0500 TO 2059 UTC,
ON 08 AND 0+.09. FM
500 __+._ _MGVH_XWON_BM
 EMGHZMT_FHZMGCH_
PROHIBITED TO NAVIGATION.
CXPSMHDFJMBJ_M_M_ZBZBT_ HZMGCHX_NNNN
",,,,
seed:017_J_20260908,en,SDR,noisy,none,"ZCZC JA74
070736 UTC SEP 26
VARNA RAWFZMZMLPDS__Z.6_!9,9,.
   35__'__.*____+_!9,+._FBZBUUEMGLPH_PP_M_FHMGWM_RCH AND RESCUE(_.*0.!._$0.60_ 40E
44 0_N 028 50E
©2019
43 52NNAVTEX.LV
        028 50E by Konstantin Sedov(3.0.0.7)
43 52N_028 40E.
NA
F_B_
_ CAUTION IN THISMAR__O_G
P_(91(_BU_Q_K_B
R_LBBNQPJ__-70+_(+_8)_8_-_49,:3) 5_8' .'_ 9, 08.09./150___(__9,,888_
_+:+: *-42
031_'30 2_
__6.62!+9,9,7.
_+_5__,_0.__-_)-.NAVY TRAINING.
ARTILLERY JCY_B_Q_CUB_A_GL_ ON 16 AND 17.09. AND
FM 0600 TO 153_ UTC ON _QIMPOMWP_WPN 028 51,20E
4* 38,20NV_AZMHHC_GP_N_,_*__+___4*+:3_0_363_3$!6_*!_3_
__,(__)__DO_NOLOLON(_93(3_
43 28,40N 028
2,(,__
8_60_0__G_L_TWNYPE

43 34,40N 0_8 _2_$GPMQM_ZJHMSFPONW_PY_HZM
FA_
FZ__ONGONNIIIUU_ JA,Y__PP__
H
_QHC
_Y
  =-
=-4,- 4-$89

,2 598/26
E FM SHABLA.NAVY TRAINI__ONTYHFSS_YEM!6__*.2.)-__)_. 0600 _59 2330 UTMVON _6
-,$ 17.09. AND
FM 0600 TO 1530 UTC ON__8.09.2026
IN RP_FZ__INWPN
N_
_FWP__
60.066G_IJKVOO_E
43 28,40
, 028 52,10E
61
_6_0!__.
__
_43 16,0,__)7_'9__-,9_, 0_8 34,70_
43 _5,00N_028 26,00E
_7 21,60_, 028 28,00_ AND COAST LIN_
_ROHOBITED TO NAVIG_TION.
NNNN
",,,,
seed:018_J_20260908,en,SDR,noisy,none,"ZCZC JA9_
_-)! 9! _9.-,--

,2 60/B_AC___OMANIA
DUE TO HF_DM_C_LPYMZ._6!_._!0*._+:29,!._$0.+6_$__423'5 0-45 9! _)-:( _- 9!
2_8:_ 2 CONTACTS FOUND_ CLEAR_D IN
ROMANIAN COASTAL AREA, _5__ .8,3 $-,_34
,2_-!_' _8___3:9..3,$3$ 59
-)_80' '-8-__.!._$0.6+_(.6___+2.6_*_+*!)!'(__._+._SEMH_IZ__AO__1__
,9.4/41-2022.
NNNN
",,,,
seed:019_J_20260908,en,SDR,en,none,"ZCZC JA76
030940 UTC AUG
GERMAN NAV WARN 434/26
SOUTHERN BALTIC. NORTHEAST Z_MY_P_P
_ON_IIKPLOSIVES FOUND ALONG THE JOINI__ES:
1. 54-48,6N 013-55,8E,
54-54,6N 013-53,8PMWOIIIV __KDELON/CEXN_ZNK_O_RK_LO/,:4-LO/,:_-_BKU_DRCKXMHON/,:_51,0E.
ANCHORING AND FISHING PROHIBITED WITHIN
A RADIUS OF 100 METRES.
CANCEL GERMAN NAV WA_N 403/26
NNNN
",,,,
seed:020_J_20260908,en,SDR,en,none,"ZCZC JA83
120930 UTC AUG
GERMAN NAV WARN 446/26
SOUTHERN BALTIC. NORTHEAST
O_MY_P_PMONIIIUPLOSIVES FOUND ALONG THE JOININ_LINES:
1.54-49.5N 013_4E
54-54.6N 013_0_
54-52.8N 013-45.6E
_5.3N 013-49.2E
54-28.3N 013-50.9E
54-21.7N 013-51.0E
ANCHORING AND FISHING PROHIBITED WITHIN O
GMYWFCJMZ.
 _OL_R__B___NIIIZCZC
",,,,
seed:021_J_20260908,en,SDR,en,none,"ZCZC JA90
171015 UT_G
GERMAN NAV WARN 463/26
WESTERN BALTIC. MECKLENBURG BAY.
'BUK' LIGHTHOUSE 54-08N 011-42E UNLIT.
NNNN
",,,,
seed:022_J_20260908,en,SDR,en,none,"ZCZC JA98
_
7_F_FMGCH_MC_ONGJZCHDPYMLK_G_BHAE_W_Q____JV_E_EXPLOSIVES FOUND L__MHDPMIIK_QZFF_YZHGM
_TTNRE,
      54-54,6N 013-_E ANWONMMMM_H_YGM
_PYCIII_.
2. 54-35,3N 013-49,2E,
      54-28,3N 013-50,9E AND
      54-21,7N 013-
  __0
_9 ___POSFHFZONMMMM_HYYYZGM_ATRNTE
      54-43,9N 013-52,8E
ANCHORING AND FISHING PROHIBITED WITHIN
A RADIUS OF 100 _43'.
NNNN
",,,,
seed:023_J_20260908,en,SDR,en,none,"ZCZC JA85
222334 UTC AUG
DANISH NAV _Y_M_PP_
THE SOUND. __K. HELSINGOER.
LIGHT TOWER KRONBZ56-02.4N 012-37.3E
UNLIT.
NNNN
",,,,
seed:024_J_20260908,en,SDR,en,none,"ZCZC JA10
261316 UTC AUG

KALINGRAD NAV WARN 201/26
SOCHDPJHPYMLSHF_ONGJDF_JMP_PYXFJPJM_ICQWQPP UTC AUG THR_PWQPP UTC SEP
AREA TEMPORARILY DANGEROUS TO SHIPPIN_
N
HH_PUB_G_QOAPQ_YPE
55-32.00_,_
_50.00E
55-03.00N 019-35.00E
546__6G_N_TMPPE
54-50.30M_OAWPMEPE
55-11.50N _Y_BAPOMWPE
55-20.00N ___Y__HDFJ___RBNNGCCG9_._

_-/-/.1__ZO
_EPI UTC AUG
KALINGRAD NAV WARN 200/26
SOUTHEASTERN BALTIC
SHIPS EXERC 31_100__AUG THRU 302100=U_C SEP
GYPMHP__ZYYFS__W_ROUS TO__DING BR-42
55-20.0NVWPAPIMPE
55-20.0N _20-25.0E
_TTAPUMYN 020-25.0E
55-07.6N 020-08.0E
CAN_PSMHDFJM_302200 UTC SEP
NNNN
",,,,
seed:025_J_20260908,en,SDR,en,none,"ZCZC JA11
261320 UTC AUG
KALINGRAD NAV WARN 202/26
SOUTHEASTERN BALTIC
SHIPS EX_WQPP UTC AUG THRU 302100
UTC SEP
AREA TEMPORARILY DANGEROUS TO SHIPPING BR-117

___6__ 019-03.00E
55-30.00N
_ _B_GP_N_HHYB_G_WPAQTMPPE
5____ 020-06.00E
54-57.50N 019-55.00E
54-50.0___
54-50.00N 019-25._0E
CANCEL THIS MSG 302200 UTC SEP
NNNN
",,,,
seed:026_J_20260908,en,SDR,en,none,"ZCZC JA17
271332 UTC AUG
_Y_OKKBKOBKCELBEGRK_ZHV___GP_L__PW
 _FU_W_F MECKLENBURG.
RESEARCH WORK IN PROGRESS BY MV 'OLYMPIC ZEUS', CS 'LAUR'
IN THE A_EA_POSITION 54-17,5N 012-01,5E.
SHIPP IS REQUESTED TO _
F_AT_ WITH CAUTION.

SAFE BERTH OF 50_M REQUESTED.
NNNN
",,,,
seed:027_J_20260908,en,SDR,noisy,none,"ZCZC JA23
281030 UTC AUG
LITHUANIAN NAV WARN 059/26
SOUTH-EASTERN BALTIC
APPROACHES TO PORT KLAIPEDA ODAS _IGHTBUOY
A YELLOW ODAS LIGHTBUOY FL(5) Y 20S HAS BEEN DE_LOYED
PSN_ARTMTON 020-58*7_:_
A SAFETY ZONE, RADIUS 0.5 NM, HAS BEEN ESTABLISHED
CENTRED ON BUOY.
___6!06*.60.2_!_7589, !._$0.60_NNNN
",,,,
seed:028_J_20260908,en,SDR,en,none,"ZCZC JA29
031128 UTC SEP

POLISH NAV WARN 213/26

SOUTHERN BALTIFL_VGZSFJDM_ZK_POMERANIAN
B_ONGWCPMHZM_FSFHY_MPTPYXFJPJMYPMLZCWPWMLEM_ZJ_H_A_QZ_ TRA
_014-27.!!_09,
_54-11.45N 014-36.38E
3. 54-13.51N 014-46.88E
_Y_MH_ _BP G_
_RIMUIE
IS TEMPORARILY DANGEROUS FOR SHIPPING ANW FISHERY:
ON 2026-09-07 FROM 12:00 TO 13:00
ON 2026-09-10 FROM 19:00 TO 21:00
EXTREME CAUT_ON ADVISED
_MNCEL THIS MSG 102100 UTC SEP
NNNN
",,,,
seed:029_J_20260908,en,SDR,noisy,none,"ZCZC JA3_
85
__510 UTC SEP
GERMAN NAV WARN 496/26
WESTERN BALTIC.FLENSBURGER FOERDE.
'_8=__=_6_2_*._'!_$_$+:*0.__6_____
_53E UNLIT.
_:_,:3) ,
!__!+'._6!_.__16.
NNNN
",,,,
seed:030_J_20260908,en,SDR,en,none,"ZCZC JA34
041635 UTC SEP
FFJDM
M_Y_M_PH
T__ONONGW_J

GJH_ HAMMER ODDE 289.5 KHZ
55-17.9N 014-46.4E UNNAH_ABLE.
_NNN

ZCZC
",,,,
seed:031_J_20260907,en,SDR,en,none,"ZCZC JA48
050652 UTC_SEP 26
VARNA RADIO

NW 60_/26
S FM CAPE GALATA.NAVY TRANIF__M
_DIVSNG WO_V_TRT TO _23_
9, 09 AND 10.09.202_ N REGION WITH
CEH_
__MY_M_FHZ_
N(._3.///BKU_OE__D___KU_QOH_-2'_3__8,_,DIVING AND ANY TYPE
UND_RWATER ACTIVITY.
NNNN
",,,,
seed:032_J_20260907,en,SDR,noisy,none,"ZCZC JA51
050652 UTC SEP 26
__- 4-$89
_*
_(_
NE FM MAZ_M 0700 TO (_0___ 5:_
9, 09_09.2_, 027 47,0A
42 _=,0_,=_027_59,__589,_ANCHORING,
FI_HING,DIVING AND AN_ TYPE UNDENNNN
",,,,
seed:033_J_20260907,en,SDR,noisy,none,"ZCZC JA35
042159 UTC SEP
POLISH NAV WARN 2 _57_9,9,_*+:_$06.)'_!_POLISH COAST
IN AREA BOUNDED BY PSN:
1. 54-41.5N 016-23.6E
2. 54-42.0N 016-28.8E
3_._66 016-31.1E
4. 5__+__*_5_
_X_ SEP 26
VAR_A R_DIN

NW _)5_89__'7+:+: -_5*
05052 UTC_EP *6
VAANA_RAD_O

N_ T_P_XWY
_S J_V_A_E GALA_A.7,-=_ 54-8,89,,AOANCH_OK_G_FJ_F!*!___(2.(____9.1BKUNEZK_TIVITY.
NNNN
",,,,
seed:034_X_20260903,pl,TEXT,pl,draft,"OSTRZEŻENIE NAWIGACYJNE NR PL 212/2026 (BRZEGOWE)
KATEGORIA: WYMAGANIA W ZAKRESIE BEZPIECZEŃSTWA
OBSZAR: BAŁTYK POŁUDNIOWY. LOKALIZACJA: WYBRZEŻE POLSKIE, ZATOKA POMORSKA. MAPA INT1295.
AKWEN O WSPÓŁRZĘDNYCH: 1. 54-12.01N 014-33.98E 2. 54-14.51N 014-30.78E 3. 54-15.51N 014-34.78E 4. 54-13.01N 014-37.08E OGŁASZA SIĘ JAKO NIEBEZPIECZNY DLA ŻEGLUGI I RYBOŁÓWSTWA ZE WZGLĘDU NA ĆWICZENIA WOJSKOWE Z UŻYCIEM UZBROJENIA W DNIACH: 2026-09-07 OD GODZINY 08:00 DO GODZINY 16:00 2026-09-08 OD GODZINY 08:00 DO GODZINY 16:00 2026-09-10 OD GODZINY 07:00 DO GODZINY 16:00
TERMIN OBOWIĄZYWANIA: OD 07 WRZ 2026, 08:00 (CET) DO 10 WRZ 2026, 16:00 (CET)
UWAGI: ZALECANA SZCZEGÓLNA UWAGA
ROZPOWSZECHNIONO 03 WRZ 2026. BHMW, KRAJOWY KOORDYNATOR OSTRZEŻEŃ NAWIGACYJNYCH.
","{""event_type"": ""EXERCISE"", ""warning_id"": ""PL 212/2026"", ""issued_at"": null, ""valid_from"": ""2026-09-07T06:00:00Z"", ""valid_to"": ""2026-09-10T14:00:00Z"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[14.5663, 54.2002], [14.513, 54.2418], [14.5797, 54.2585], [14.618, 54.2168], [14.5663, 54.2002]]]}, ""location_name"": ""BAŁTYK POŁUDNIOWY, WYBRZEŻE POLSKIE, ZATOKA POMORSKA"", ""agency"": ""BHMW"", ""entities"": []}",,,
